Activity Name,Sport Type,start_latlng,elev_high,distance,type,total_elevation_gain,elev_low,start_date,City,State,Country,distance_score,elevation_score,difficulty_score_without_altitude,average_elevation,performance_capacity,Difficulty Score,Distance (miles),Total Elevation Gain (ft),Date
Devil’s Dome - Day 4,Hike,"(48.837065, -121.020652)",2534.776984,21731.3,root='Hike',486.4,491.5,2025-09-16 14:28:59+00:00,Hope,British Columbia,CA,14.85,3.51,18.36,2073.65,0.983,18.68,13.5,1596,09/16/25
Devil’s Dome - Day 3,Hike,"(48.831541, -120.94409)",6987.204948,19186.2,root='Hike',515.6,492.3,2025-09-15 18:16:06+00:00,Hope,British Columbia,CA,12.81,3.64,16.45,4301.18,0.959,17.15,11.92,1692,09/15/25
Devil’s Dome - Day 2,Hike,"(48.75212, -120.866264)",6982.939856,20504.2,root='Hike',1231.1,1568.4,2025-09-14 15:28:51+00:00,Princeton,British Columbia,CA,14.01,8.89,22.9,6064.3,0.927,24.7,12.74,4039,09/14/25
Evening Hike,Hike,"(48.752146, -120.866314)",6233.267916000001,3079.8,root='Hike',117.6,1782.2,2025-09-14 01:39:10+00:00,Princeton,British Columbia,CA,1.91,0.77,2.6799999999999997,6040.19,0.927,2.89,1.91,386,09/14/25
Devil’s Dome - Day 1,Hike,"(48.707865, -120.977593)",5887.795464,21326.3,root='Hike',1478.8,506.3,2025-09-13 17:38:59+00:00,Darrington,Washington,US,14.58,10.67,25.25,3774.44,0.959,26.33,13.25,4852,09/13/25
Magnolia,Ride,"(47.655658, -122.342516)",354.986888,39827.7,root='Ride',488.0,0.8,2025-09-12 00:47:35+00:00,Seattle,Washington,US,6.19,3.2,9.39,178.81,1.0,9.39,24.75,1601,09/12/25
Evening Run,Run,"(47.656078, -122.342268)",227.034128,8447.0,root='Run',46.7,42.7,2025-09-10 00:27:38+00:00,Seattle,Washington,US,5.25,0.31,5.56,183.56,1.0,5.56,5.25,153,09/10/25
Seward Park,Ride,"(47.656072, -122.342207)",178.47769599999998,44168.9,root='Ride',350.0,7.0,2025-09-09 00:16:44+00:00,Seattle,Washington,US,6.86,2.3,9.16,100.72,1.0,9.16,27.45,1148,09/09/25
Lunch Run,Run,"(47.655855, -122.342417)",136.81102800000002,4931.6,root='Run',12.7,7.8,2025-09-07 18:34:55+00:00,Seattle,Washington,US,3.06,0.08,3.14,81.2,1.0,3.14,3.06,42,09/07/25
Discovery + Downtown,Ride,"(47.656115, -122.342237)",349.73754399999996,49425.7,root='Ride',503.0,1.2,2025-09-07 15:28:52+00:00,Seattle,Washington,US,7.68,3.3,10.98,176.84,1.0,10.98,30.71,1650,09/07/25
Vesper Peak,Hike,"(48.02594, -121.477938)",6216.535632,11517.4,root='Hike',1224.1,684.4,2025-09-06 17:20:55+00:00,Darrington,Washington,US,7.16,8.03,15.19,4230.97,0.959,15.84,7.16,4016,09/06/25
Evening Run,Run,"(47.655836, -122.34241)",399.934396,8004.6,root='Run',144.8,7.2,2025-09-06 00:45:52+00:00,Seattle,Washington,US,4.97,0.95,5.92,211.78,1.0,5.92,4.97,475,09/06/25
Evening Run,Run,"(47.655999, -122.342412)",236.54856399999997,10539.3,root='Run',77.6,9.2,2025-09-05 00:51:45+00:00,Seattle,Washington,US,6.55,0.51,7.06,133.37,1.0,7.06,6.55,255,09/05/25
Morning Run,Run,"(47.655969, -122.34211)",139.107616,5051.2,root='Run',44.0,6.9,2025-09-04 14:02:37+00:00,Seattle,Washington,US,3.14,0.29,3.43,80.87,1.0,3.43,3.14,144,09/04/25
Lake Ann + Chain of Lakes,Hike,"(48.861692, -121.682716)",5415.682588,26541.1,root='Hike',1147.1,1199.8,2025-09-01 14:36:56+00:00,Agassiz,British Columbia,CA,16.49,7.53,24.02,4676.02,0.944,25.44,16.49,3763,09/01/25
Cascade Pass + Sahale Glacier,Hike,"(48.475677, -121.076438)",7614.501556,24251.8,root='Hike',1434.3,1084.2,2025-08-31 15:07:53+00:00,Darrington,Washington,US,15.07,9.41,24.48,5585.79,0.927,26.41,15.07,4706,08/31/25
Duvall + Marckworth Forest,GravelRide,"(47.739899, -121.98782)",664.042016,56172.2,root='Ride',519.0,11.0,2025-08-30 00:24:09+00:00,Duvall,Washington,US,9.97,3.41,13.38,350.07,1.0,13.38,34.9,1703,08/30/25
Afternoon Run,Run,"(47.6562, -122.342367)",226.706044,5141.0,root='Run',42.2,42.4,2025-08-28 00:10:07+00:00,Seattle,Washington,US,3.19,0.28,3.4699999999999998,182.91,1.0,3.47,3.19,138,08/28/25
North Lake Washington,Ride,"(47.656078, -122.342746)",456.03676,51244.8,root='Ride',383.0,4.0,2025-08-26 01:29:29+00:00,Seattle,Washington,US,7.96,2.51,10.469999999999999,234.58,1.0,10.47,31.84,1257,08/26/25
Luahna Peak,Hike,"(47.962564, -120.945045)",8424.540952000001,36168.1,root='Hike',2731.8,701.1,2025-08-23 13:30:43+00:00,Leavenworth,Washington,US,29.21,17.93,47.14,5362.37,0.944,49.94,22.47,8963,08/23/25
Discovery + Ballard,Ride,"(47.656013, -122.342398)",332.67717600000003,45685.4,root='Ride',358.0,-0.4,2025-08-22 01:17:55+00:00,Seattle,Washington,US,7.1,2.35,9.45,165.68,1.0,9.45,28.39,1175,08/22/25
Bellevue,Ride,"(47.655936, -122.34238)",175.196856,32539.4,root='Ride',292.0,3.6,2025-08-21 02:25:52+00:00,Seattle,Washington,US,5.05,1.92,6.97,93.5,1.0,6.97,20.22,958,08/21/25
Thrilla + North Lake Washington,GravelRide,"(47.652521, -122.342645)",573.4908320000001,84694.4,root='Ride',789.0,4.6,2025-08-17 22:31:00+00:00,Seattle,Washington,US,15.04,5.18,20.22,294.29,1.0,20.22,52.63,2589,08/17/25
Tatoosh Peak,Hike,"(46.666787, -121.63824)",6292.323036000001,22164.5,root='Hike',1515.8,699.0,2025-08-16 17:00:09+00:00,Buckley,Washington,US,13.77,9.95,23.72,4292.82,0.959,24.73,13.77,4973,08/16/25
Discovery + Carkeek,Ride,"(47.656022, -122.34253)",361.548568,41510.8,root='Ride',665.0,2.4,2025-08-15 01:34:48+00:00,Seattle,Washington,US,6.45,4.36,10.81,184.71,1.0,10.81,25.79,2182,08/15/25
Afternoon Ride,Ride,"(47.655962, -122.342283)",269.02888,7978.2,root='Ride',148.0,11.0,2025-08-13 00:18:23+00:00,Seattle,Washington,US,1.24,0.97,2.21,152.56,1.0,2.21,4.96,486,08/13/25
McClellan Butte,TrailRun,"(47.411772, -121.58889)",5032.80856,18406.1,root='Run',1136.4,484.9,2025-08-10 17:22:13+00:00,Tanner,Washington,US,11.44,7.46,18.9,3311.84,0.972,19.44,11.44,3728,08/10/25
Obliteride 2025!,Ride,"(47.654821, -122.342537)",589.2388639999999,162584.0,root='Ride',1694.0,3.4,2025-08-09 13:03:19+00:00,Seattle,Washington,US,25.26,11.12,36.38,300.2,1.0,36.38,101.02,5558,08/09/25
Kirkland,Ride,"(47.656115, -122.342291)",156.167984,34641.2,root='Ride',275.0,3.2,2025-08-07 01:59:02+00:00,Seattle,Washington,US,5.38,1.8,7.18,83.33,1.0,7.18,21.53,902,08/07/25
Woodinville + Issaquah + MI,Ride,"(47.655406, -122.342462)",474.40946399999996,106506.0,root='Ride',643.0,6.0,2025-08-03 16:00:55+00:00,Seattle,Washington,US,16.54,4.22,20.759999999999998,247.05,1.0,20.76,66.18,2110,08/03/25
Alki Beach,Ride,"(47.655939, -122.342444)",278.215232,51043.0,root='Ride',314.0,1.0,2025-08-01 22:48:41+00:00,Seattle,Washington,US,7.93,2.06,9.99,140.75,1.0,9.99,31.72,1030,08/01/25
Green Lake,Run,"(47.667641, -122.340452)",184.383208,5459.2,root='Run',5.7,50.5,2025-07-30 14:59:15+00:00,Seattle,Washington,US,3.39,0.04,3.43,175.03,1.0,3.43,3.39,19,07/30/25
Mercer Island Hot Lap,Ride,"(47.655992, -122.34231)",234.908144,68048.2,root='Ride',621.0,6.4,2025-07-30 00:11:02+00:00,Seattle,Washington,US,10.57,4.07,14.64,127.95,1.0,14.64,42.28,2037,07/30/25
North Lake Washington,Ride,"(47.654724, -122.34255)",459.97376799999995,51006.9,root='Ride',387.0,3.4,2025-07-29 00:05:40+00:00,Seattle,Washington,US,7.92,2.54,10.46,235.56,1.0,10.46,31.69,1270,07/29/25
American Camp — SJI,TrailRun,"(48.465513, -122.969289)",289.370088,9908.9,root='Run',178.2,4.0,2025-07-27 17:59:21+00:00,Friday Harbor,Washington,US,6.16,1.17,7.33,151.25,1.0,7.33,6.16,585,07/27/25
South San Juan Island,Ride,"(48.465507, -122.969333)",275.59056,51346.8,root='Ride',656.0,3.6,2025-07-26 20:36:31+00:00,Friday Harbor,Washington,US,7.98,4.3,12.280000000000001,143.7,1.0,12.28,31.91,2152,07/26/25
Lake Sammamish + Zoo Climb,Ride,"(47.584706, -122.189511)",1151.57484,62877.1,root='Ride',801.0,5.2,2025-07-25 00:33:32+00:00,Newport,Washington,US,9.77,5.26,15.03,584.32,0.992,15.15,39.07,2628,07/25/25
Green Lake,Ride,"(47.656034, -122.342331)",232.283472,23830.9,root='Ride',75.0,43.2,2025-07-23 00:31:35+00:00,Seattle,Washington,US,3.7,0.49,4.19,187.01,1.0,4.19,14.81,246,07/23/25
Black Peak,Hike,"(48.514645, -120.734181)",8866.4701,20345.0,root='Hike',1557.5,1481.7,2025-07-20 15:30:08+00:00,Granite Falls,Washington,US,15.17,10.22,25.39,6863.85,0.907,27.99,12.64,5110,07/20/25
Mercer Island + South Lake Washington,Ride,"(47.656259, -122.342315)",223.753288,75436.1,root='Ride',589.0,4.4,2025-07-19 19:26:54+00:00,Seattle,Washington,US,11.72,3.86,15.58,119.09,1.0,15.58,46.87,1932,07/19/25
Middle Fork,Ride,"(47.491967, -121.776417)",1116.141768,49292.3,root='Ride',339.0,135.6,2025-07-17 22:16:47+00:00,North Bend,Washington,US,7.66,2.22,9.88,780.51,0.992,9.96,30.63,1112,07/17/25
Burke-Gilman + Green Lake,Ride,"(47.655383, -122.342421)",219.81628,56846.4,root='Ride',198.0,5.4,2025-07-16 01:03:13+00:00,Seattle,Washington,US,8.83,1.3,10.13,118.77,1.0,10.13,35.32,650,07/16/25
Golden Gardens,Ride,"(47.656, -122.342351)",139.107616,19855.1,root='Ride',74.3,3.1,2025-07-13 20:38:25+00:00,Seattle,Washington,US,3.08,0.49,3.5700000000000003,74.64,1.0,3.57,12.34,244,07/13/25
Burke-Gilman,Ride,"(47.656084, -122.342245)",141.07612,33331.8,root='Ride',130.0,9.6,2025-07-13 17:55:49+00:00,Seattle,Washington,US,5.18,0.85,6.029999999999999,86.29,1.0,6.03,20.71,427,07/13/25
Cascade Pass + Sahale Arm,Hike,"(48.474809, -121.076394)",6084.31778,16697.9,root='Hike',799.7,1081.4,2025-07-12 14:52:44+00:00,Darrington,Washington,US,10.38,5.25,15.63,4816.11,0.944,16.56,10.38,2624,07/12/25
Olallie & Talapus Lakes,TrailRun,"(47.40134, -121.518228)",4220.472576,15797.4,root='Run',531.2,806.6,2025-07-11 22:43:00+00:00,Tanner,Washington,US,9.82,3.49,13.31,3433.4,0.972,13.69,9.82,1743,07/11/25
Kirkland,Ride,"(47.656015, -122.342424)",158.792656,28835.3,root='Ride',256.0,2.0,2025-07-06 15:54:50+00:00,Seattle,Washington,US,4.48,1.68,6.16,82.68,1.0,6.16,17.92,840,07/06/25
Granite Lake,TrailRun,"(47.492217, -121.639864)",3128.28094,14915.9,root='Run',732.9,265.7,2025-07-05 18:26:18+00:00,Tanner,Washington,US,9.27,4.81,14.079999999999998,2000.0,0.983,14.32,9.27,2405,07/05/25
Burke-Gilman,Ride,"(47.656009, -122.342755)",140.74803599999998,22965.3,root='Ride',88.1,6.6,2025-07-04 02:28:13+00:00,Seattle,Washington,US,3.57,0.58,4.1499999999999995,81.2,1.0,4.15,14.27,289,07/04/25
Earl + Bean + Devil’s Head,Hike,"(47.389263, -120.872364)",7001.31256,18578.0,root='Hike',1505.6,1111.2,2025-06-29 15:26:14+00:00,Cle Elum,Washington,US,13.85,9.88,23.73,5323.49,0.944,25.14,11.54,4940,06/29/25
Chinook Pass + Crystal,Ride,"(46.922065, -121.533926)",5446.850568,91220.3,root='Ride',1962.0,847.2,2025-06-28 15:17:15+00:00,Enumclaw,Washington,US,14.17,12.87,27.04,4113.19,0.959,28.2,56.68,6437,06/28/25
