Activity Name,Date,Sport Type,Distance (miles),Total Elevation Gain (ft),Difficulty Score
Trail Ridge Road,08/19/22,Ride,86.94,9675,49.08
Cadillac's Greatest Hits,08/23/21,Ride,110.21,5928,39.72
Onekama,08/11/20,Ride,113.61,4155,37.01
Obliteride 2024,08/10/24,Ride,101.91,5329,36.14
Grass Lake,06/12/21,GravelRide,85.29,3317,35.35
Longs Peak & Mt. Meeker,08/13/22,Hike,14.48,7469,33.07
Mt. Teneriffe + Mt. Si,11/26/23,Hike,17.29,7452,29.79
Chinook Pass + Crystal,06/28/25,Ride,56.68,6437,28.2
Spray Park Loop,08/31/24,TrailRun,18.45,5136,27.98
Pleasant Lake,08/14/21,GravelRide,66.79,2586,27.65
Enchantments,08/17/24,Hike,20.84,5110,27.38
Paradise + Stevens Canyon,09/23/24,Ride,57.33,5819,27.08
Manton + Ina,07/28/20,Ride,75.49,3730,26.54
Nederland + Ward,07/03/22,Ride,53.61,5177,26.19
Andrew’s Glacier + Taylor + Hallett,07/23/22,Hike,14.06,5314,26.18
Washington Pass,05/12/24,Ride,57.75,5223,25.95
Luther + Harrietta ,07/12/20,Ride,73.97,3433,25.56
Old Snowy + Knife’s Edge,08/25/24,Hike,17.43,4806,24.47
Black Peak,07/20/25,Hike,12.64,5110,22.59
BLOM / Island Lake,05/28/23,MountainBikeRide,52.37,1824,22.03
Oyster Dome Loop,11/03/24,TrailRun,15.12,3668,21.69
Lyons + Loveland,06/19/22,Ride,62.34,2429,21.65
Leelanau County,08/04/20,Ride,66.43,2375,21.53
Island Lake,04/03/21,MountainBikeRide,50.84,1687,21.22
Bristol + Tustin - CCC,07/16/20,Ride,61.11,2841,21.13
Cuyuna ,07/22/23,MountainBikeRide,40.73,2090,20.63
20 w/ Soph,09/15/24,Run,20.15,138,20.59
Hurricane Ridge,06/30/24,Ride,38.3,5156,20.47
Earl + Bean + Devil’s Head,06/29/25,Hike,11.54,4940,20.4
Johnston’s + Harry’s Ridge,06/22/24,Hike,17.25,3227,20.22
Cutthroat Pass,10/12/24,Hike,14.93,3285,20.17
Unadilla + Hell,11/09/20,Ride,62.03,2024,19.72
Manistee River Trail Loop,08/22/20,Hike,20.67,1911,19.48
,07/28/21,GravelRide,48.41,1581,19.46
The Dragon,09/05/24,MountainBikeRide,40.17,1482,19.19
Waterloop ,10/09/20,Ride,58.46,2195,19.15
Waterloop,03/09/21,Ride,58.86,2047,18.96
Harrietta + Hoxeyville,08/22/22,Ride,59.67,1935,18.94
VASA,05/04/21,MountainBikeRide,38.9,1568,18.85
Chilly Hilly - Bainbridge Island,10/13/24,Ride,48.3,3320,18.72
Kendall Katwalk - PCT,10/01/23,Hike,15.31,3158,18.56
WPT - Reed City,06/07/20,Ride,64.24,1058,18.32
Trappers Peak + Thornton Lake,09/18/24,Hike,11.66,4187,17.86
Dighton + Lucas - CCC,08/20/20,Ride,49.51,2621,17.76
Lake Minnetonka,06/18/23,Ride,52.59,2177,17.64
Lefthand Canyon,06/22/22,Ride,34.15,3659,17.48
Gunbarrel + Flagstaff Mountain,06/04/22,Ride,40.04,3024,17.32
Yakima Canyon,09/17/24,Ride,52.69,1970,17.25
Lake Sammamish + Zoo Climb,07/11/24,Ride,46.7,2706,17.22
WPT - Ashton + Both Lakes,05/20/20,Ride,60.84,920,17.19
Waterloo + DTE,05/19/21,MountainBikeRide,37.39,1957,17.05
Hamburg,04/18/21,GravelRide,41.19,1581,17.03
Cougar Mountain,09/26/23,Ride,40.57,3372,17.02
Jamestown + Rowena,06/10/22,Ride,35.03,3454,16.9
Harrietta + Hoxeyville - CCC,06/25/20,Ride,52.09,1869,16.89
Hoxeyville + Harrietta,05/08/21,Ride,52.3,1837,16.89
Manton - CCC,07/30/20,Ride,50.05,2114,16.87
Hoxeyville + Harrietta,09/16/23,Ride,51.86,1817,16.73
Lake Sammamish,10/05/24,Ride,49.2,2185,16.67
Falmouth - CCC,08/13/20,Ride,50.14,1991,16.65
Chicago Lakefront Trail,08/21/23,Run,16.22,146,16.65
Trap Pass,07/04/24,Hike,11.14,3274,16.53
Harrietta + Hoxeyville,05/06/20,Ride,51.95,1651,16.42
Red Wing,08/11/23,GravelRide,32.26,2740,16.36
Cadillac Pathway,05/23/20,MountainBikeRide,28.55,2227,16.0
Middle Fork,08/04/24,Ride,49.29,1757,15.96
Jordan,07/16/23,Ride,50.62,1582,15.95
Mount Baker,07/13/24,Ride,32.27,3700,15.92
Lake Washington,08/08/24,Ride,48.72,1814,15.81
Olga Lake,05/02/21,GravelRide,36.38,1756,15.77
Arcadia Dunes,05/29/25,MountainBikeRide,26.35,2474,15.61
Mercer Island + South Lake Washington,07/19/25,Ride,46.87,1932,15.58
Hannegan Peak + Copper Creek - Day 1,07/27/24,Hike,11.1,3168,15.53
Potawatomi,05/16/21,MountainBikeRide,27.03,2212,15.36
Mailbox Peak,05/26/24,TrailRun,7.99,3971,15.36
Chelsea North,10/15/20,Ride,47.03,1726,15.33
Chelsea North,07/24/21,Ride,47.44,1619,15.22
Chicago Lakefront Path,06/14/25,Run,14.96,61,15.2
Lake Sammamish + Zoo Climb,07/25/25,Ride,39.07,2628,15.15
Tuesday Gravel Hills - AAVC,06/22/21,GravelRide,36.98,1295,15.04
Lake Sammamish,07/24/24,Ride,43.08,2043,14.86
McBain + Dighton ,05/13/20,Ride,43.61,1877,14.77
Mercer Island Hot Lap,07/30/25,Ride,42.28,2037,14.64
The Divide,08/21/20,GravelRide,30.13,2170,14.5
Granite Mountain,07/21/24,Hike,8.55,3729,14.46
Chasm Lake,08/07/22,Hike,9.04,2635,14.4
South Lake Washington + Mercer Island,07/16/24,Ride,44.01,1694,14.39
Both Lakes + WPT - Leroy,08/21/19,Ride,50.1,782,14.2
Chelsea,09/06/20,Ride,43.85,1509,14.09
Lucas + McBain - CCC,07/02/20,Ride,41.36,1821,14.09
The Dragon,09/17/23,MountainBikeRide,29.44,1074,14.04
Meauwataka - CCC,06/04/20,Ride,45.13,1314,14.02
