type,elev_high,Sport Type,start_date,total_elevation_gain,Activity Name,distance,elev_low,start_latlng,City,State,Country,distance_score,elevation_score,difficulty_score_without_altitude,average_elevation,performance_capacity,Difficulty Score,Distance (miles),Total Elevation Gain (ft),Date
root='Hike',14247.703867999999,Hike,2022-08-13 09:44:27+00:00,2276.4,Longs Peak & Mt. Meeker,23311.1,2851.2,"(40.27397998608649, -105.55750287137926)",Estes Park,Colorado,US,10.86,14.937008352000001,25.797008352,11801.02,0.78,33.07,14.48,7469,08/13/22
root='Hike',13154.856064,Hike,2022-07-23 11:31:09+00:00,1619.8,Andrew’s Glacier + Taylor + Hallett,22631.0,2821.5,"(40.311634596437216, -105.644621104002)",Estes Park,Colorado,US,10.55,10.628609264,21.178609264000002,11205.87,0.809,26.18,14.06,5314,07/23/22
root='AlpineSki',12465.223496,AlpineSki,2025-03-31 15:17:59+00:00,6641.1,A-Basin,50419.1,3281.2,"(39.641967, -105.87328)",Keystone,Colorado,US,31.33,21.788386524000003,53.118386524,11615.16,0.78,68.1,31.33,21788,03/31/25
root='Ride',12188.648684,Ride,2022-08-19 11:46:09+00:00,2949.0,Trail Ridge Road,139913.0,2326.5,"(40.371468560770154, -105.54195603355765)",Estes Park,Colorado,US,21.73,19.35039432,41.080394319999996,9910.76,0.837,49.08,86.94,9675,08/19/22
root='AlpineSki',11987.533192,AlpineSki,2025-03-30 14:25:56+00:00,8620.5,Winter Park — Day 1,94002.7,2766.3,"(39.885982, -105.762939)",Fraser,Colorado,US,58.41,28.28248122,86.69248121999999,10531.66,0.809,107.16,58.41,28282,03/30/25
root='AlpineSki',11987.533192,AlpineSki,2025-04-03 14:53:47+00:00,10611.7,Winter Park — Day 4,106194.0,2770.9,"(39.870548, -105.758771)",Fraser,Colorado,US,65.99,34.815289828000004,100.805289828,10539.21,0.809,124.6,65.99,34815,04/03/25
root='AlpineSki',11987.533192,AlpineSki,2025-04-02 14:51:38+00:00,8621.5,Winter Park — Day 3,83051.5,2770.7,"(39.874994, -105.761116)",Fraser,Colorado,US,51.61,28.285762060000003,79.89576206000001,10538.88,0.809,98.76,51.61,28286,04/02/25
root='AlpineSki',11987.533192,AlpineSki,2025-04-01 15:14:30+00:00,7219.1,Winter Park — Day 2,72385.8,2880.5,"(39.875121, -105.760857)",Fraser,Colorado,US,44.98,23.684712044,68.664712044,10719.0,0.809,84.88,44.98,23685,04/01/25
root='Hike',11799.54106,Hike,2022-08-07 14:21:08+00:00,803.1,Chasm Lake,14548.0,2799.0,"(40.27218785136938, -105.55685956031084)",Estes Park,Colorado,US,6.78,5.269685208,12.049685208,10491.31,0.837,14.4,9.04,2635,08/07/22
root='Hike',11377.95312,Hike,2022-07-04 12:54:02+00:00,746.5,Twin Sisters,12172.5,2723.2,"(40.30657737515867, -105.53720978088677)",Estes Park,Colorado,US,5.67,4.89829412,10.568294120000001,10156.17,0.837,12.63,7.56,2449,07/04/22
root='AlpineSki',10555.118448,AlpineSki,2025-03-10 14:56:29+00:00,6341.9,Steamboat — Day 3,58320.1,2104.4,"(40.458286, -106.803208)",Steamboat Springs,Colorado,US,36.24,20.806759195999998,57.046759196,8729.66,0.863,66.1,36.24,20807,03/10/25
root='AlpineSki',10552.165692,AlpineSki,2025-03-08 15:42:18+00:00,7294.6,Steamboat — Day 1,65615.1,2099.8,"(40.457821, -106.805413)",Steamboat Springs,Colorado,US,40.77,23.932415464,64.70241546400001,8720.64,0.863,74.97,40.77,23932,03/08/25
root='AlpineSki',10530.840232,AlpineSki,2025-03-09 16:22:39+00:00,6116.4,Steamboat — Day 2,55282.1,2101.3,"(40.457113, -106.804585)",Steamboat Springs,Colorado,US,34.35,20.066929776,54.416929776,8712.43,0.863,63.06,34.35,20067,03/09/25
root='Hike',10375.984584,Hike,2022-07-10 14:48:21+00:00,11.3,Red Deer Lake - Day 2,11606.7,2657.3,"(40.14169410802424, -105.60860079713166)",Nederland,Colorado,US,5.41,0.074146984,5.484146984000001,9547.08,0.837,6.55,7.21,37,07/10/22
root='Hike',10375.6565,Hike,2022-07-09 15:55:02+00:00,517.3,Red Deer Lake - Day 1,11929.7,2657.3,"(40.12994460761547, -105.52409905940294)",Nederland,Colorado,US,5.56,3.394357064,8.954357064,9546.92,0.837,10.7,7.41,1697,07/09/22
root='Hike',10090.551504,Hike,2022-06-02 14:56:19+00:00,525.0,Rocky Mountain National Park,13705.0,2374.2,"(40.31197741627693, -105.6441654637456)",Estes Park,Colorado,US,6.39,3.444882,9.834882,8939.96,0.863,11.4,8.52,1722,06/02/22
root='Ride',9388.451744,Ride,2022-08-17 13:16:21+00:00,811.6,Longs Peak Trailhead,32961.1,2326.5,"(40.37385229021311, -105.54573593661189)",Estes Park,Colorado,US,5.12,5.325459488000001,10.445459488000001,8510.66,0.863,12.1,20.48,2663,08/17/22
root='Ride',9339.895312,GravelRide,2022-07-21 01:06:28+00:00,594.4,Switzerland Trail,37193.0,2353.5,"(40.025303, -105.425316)",Nederland,Colorado,US,7.7,3.9002625920000003,11.600262592,8530.68,0.863,13.44,23.11,1950,07/21/22
root='Ride',9326.771952000001,Ride,2022-07-03 15:46:27+00:00,1578.1,Nederland + Ward,86270.0,1610.8,"(40.00835118815303, -105.2562072314322)",Boulder,Colorado,US,13.4,10.354987207999999,23.754987208,7305.77,0.907,26.19,53.61,5177,07/03/22
root='Ride',9263.123656,Ride,2022-06-22 00:07:06+00:00,1115.3,Lefthand Canyon,54961.9,1707.1,"(40.13367380015552, -105.28282731771469)",Lyons,Colorado,US,8.54,7.318241704,15.858241704,7431.92,0.907,17.48,34.15,3659,06/22/22
root='Ride',9033.464856,Ride,2022-08-15 12:07:14+00:00,568.4,Deer Ridge Junction ,33572.5,2299.4,"(40.37166494876146, -105.54214186035097)",Estes Park,Colorado,US,5.22,3.729658912,8.949658912,8288.71,0.886,10.1,20.86,1865,08/15/22
root='AlpineSki',8953.740444,AlpineSki,2025-01-18 16:42:55+00:00,5871.8,Mt. Bachelor -- Day 1,52483.5,1738.3,"(44.002837, -121.67834)",Sunriver,Oregon,US,32.61,19.264436312,51.874436312,7328.41,0.907,57.19,32.61,19264,01/18/25
root='AlpineSki',8952.100024,AlpineSki,2025-01-20 16:57:40+00:00,5645.4,Mt. Bachelor -- Day 3,52026.1,1738.2,"(44.002794, -121.678376)",Sunriver,Oregon,US,32.33,18.521654136,50.85165413599999,7327.43,0.907,56.07,32.33,18522,01/20/25
root='AlpineSki',8951.443856,AlpineSki,2025-01-19 16:56:37+00:00,10373.1,Mt. Bachelor -- Day 2,91694.0,1738.3,"(44.002814, -121.678291)",Sunriver,Oregon,US,56.98,34.032481404,91.012481404,7327.26,0.907,100.34,56.98,34032,01/19/25
root='Hike',8866.4701,Hike,2025-07-20 15:30:08+00:00,1557.5,Black Peak,20345.0,1481.7,"(48.514645, -120.734181)",Granite Falls,Washington,US,10.27,10.2198166,20.489816599999997,6863.85,0.907,22.59,12.64,5110,07/20/25
root='Hike',8163.714172000001,Hike,2022-05-29 20:44:12+00:00,373.8,Black Canyon of the Gunnison,5196.9,2344.2,"(38.55479037389159, -107.68676108680665)",Montrose,Colorado,US,2.42,2.452755984,4.872755983999999,7927.33,0.886,5.5,3.23,1226,05/29/22
